mariadbd, Version: 10.11.8-MariaDB-log (Alpine Linux). started with:
Tcp port: 0  Unix socket: (null)
Time		    Id Command	Argument
240613 10:07:45	     3 Connect	root@wordpress.inception_mynet on  using TCP/IP
		     3 Query	SET NAMES utf8mb4
		     3 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_520_ci'
		     3 Query	SELECT @@SESSION.sql_mode
		     3 Query	SET SESSION sql_mode='ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		     3 Init DB	mysql
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     3 Query	DESCRIBE wp_users
		     3 Query	DESCRIBE wp_usermeta
		     3 Query	DESCRIBE wp_posts
		     3 Query	DESCRIBE wp_comments
		     3 Query	DESCRIBE wp_links
		     3 Query	DESCRIBE wp_options
		     3 Query	DESCRIBE wp_postmeta
		     3 Query	DESCRIBE wp_terms
		     3 Query	DESCRIBE wp_term_taxonomy
		     3 Query	DESCRIBE wp_term_relationships
		     3 Query	DESCRIBE wp_termmeta
		     3 Query	DESCRIBE wp_commentmeta
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_attachment_pages_enabled' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'active_plugins' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'hack_file' LIMIT 1
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
