mariadbd, Version: 10.11.6-MariaDB-log (Alpine Linux). started with:
Tcp port: 0  Unix socket: (null)
Time		    Id Command	Argument
240611 13:09:19	     3 Connect	root@wordp.inception_mynet on  using TCP/IP
		     3 Connect	Access denied for user 'root'@'wordp.inception_mynet' (using password: NO)
240611 13:09:45	     4 Connect	root@wordp.inception_mynet on  using TCP/IP
		     4 Connect	Access denied for user 'root'@'wordp.inception_mynet' (using password: NO)
240612  7:32:40	     6 Connect	roOot@wordp.inception_mynet on  using TCP/IP
		     6 Connect	Access denied for user 'roOot'@'wordp.inception_mynet' (using password: YES)
240612  7:36:12	     7 Connect	root@wordp.inception_mynet on  using TCP/IP
		     7 Query	SET NAMES utf8mb4
		     7 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_520_ci'
		     7 Query	SELECT @@SESSION.sql_mode
		     7 Query	SET SESSION sql_mode='ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		     7 Init DB	mysql
		     7 Query	SELECT option_name, option_value FROM wp_options WHERE autoload = 'yes'
		     7 Query	SELECT option_name, option_value FROM wp_options
		     7 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     7 Query	DESCRIBE wp_users
		     7 Query	DESCRIBE wp_usermeta
		     7 Query	DESCRIBE wp_posts
		     7 Query	DESCRIBE wp_comments
		     7 Query	DESCRIBE wp_links
		     7 Query	DESCRIBE wp_options
		     7 Query	DESCRIBE wp_postmeta
		     7 Query	DESCRIBE wp_terms
		     7 Query	DESCRIBE wp_term_taxonomy
		     7 Query	DESCRIBE wp_term_relationships
		     7 Query	DESCRIBE wp_termmeta
		     7 Query	DESCRIBE wp_commentmeta
		     7 Quit	
		     8 Connect	root@wordp.inception_mynet on  using TCP/IP
		     8 Query	SET NAMES utf8mb4
		     8 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_520_ci'
		     8 Query	SELECT @@SESSION.sql_mode
		     8 Query	SET SESSION sql_mode='ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		     8 Init DB	mysql
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     8 Query	DESCRIBE wp_users
		     8 Query	DESCRIBE wp_usermeta
		     8 Query	DESCRIBE wp_posts
		     8 Query	DESCRIBE wp_comments
		     8 Query	DESCRIBE wp_links
		     8 Query	DESCRIBE wp_options
		     8 Query	DESCRIBE wp_postmeta
		     8 Query	DESCRIBE wp_terms
		     8 Query	DESCRIBE wp_term_taxonomy
		     8 Query	DESCRIBE wp_term_relationships
		     8 Query	DESCRIBE wp_termmeta
		     8 Query	DESCRIBE wp_commentmeta
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_attachment_pages_enabled' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'active_plugins' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'hack_file' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_user_roles' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'template' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'template' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'WPLANG' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'template' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_attachment_pages_enabled' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'category_base' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'category_base' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'tag_base' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'tag_base' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     8 Query	DESCRIBE wp_users
		     8 Query	DESCRIBE wp_usermeta
		     8 Query	DESCRIBE wp_posts
		     8 Query	DESCRIBE wp_comments
		     8 Query	DESCRIBE wp_links
		     8 Query	DESCRIBE wp_options
		     8 Query	DESCRIBE wp_postmeta
		     8 Query	DESCRIBE wp_terms
		     8 Query	DESCRIBE wp_term_taxonomy
		     8 Query	DESCRIBE wp_term_relationships
		     8 Query	DESCRIBE wp_termmeta
		     8 Query	DESCRIBE wp_commentmeta
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'use_smilies' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'blog_public' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'blog_charset' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'theme_switched' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
240612  7:36:13	     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     8 Query	DESCRIBE wp_users
		     8 Query	DESCRIBE wp_usermeta
		     8 Query	DESCRIBE wp_posts
		     8 Query	DESCRIBE wp_comments
		     8 Query	DESCRIBE wp_links
		     8 Query	DESCRIBE wp_options
		     8 Query	DESCRIBE wp_postmeta
		     8 Query	DESCRIBE wp_terms
		     8 Query	DESCRIBE wp_term_taxonomy
		     8 Query	DESCRIBE wp_term_relationships
		     8 Query	DESCRIBE wp_termmeta
		     8 Query	DESCRIBE wp_commentmeta
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'ftp_credentials' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_key' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_key' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_key' LIMIT 1
		     8 Query	INSERT INTO `wp_options` (`option_name`, `option_value`, `autoload`) VALUES ('nonce_key', '{jm{U`ubOZk;Sk$(TBcU Ri(SGh$00]B2-BXfsR6a0&OGVcqEAh@.&3&yVU3?Tv[', 'no') ON DUPLICATE KEY UPDATE `option_name` = VALUES(`option_name`), `option_value` = VALUES(`option_value`), `autoload` = VALUES(`autoload`)
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_salt' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_salt' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_salt' LIMIT 1
		     8 Query	INSERT INTO `wp_options` (`option_name`, `option_value`, `autoload`) VALUES ('nonce_salt', '?L?;SNk]zHCxZ3CXKhIeOn(tz6pa*m}~A<&A(NLXm1Qp[/Ms9+kCTo29dz[}bLDr', 'no') ON DUPLICATE KEY UPDATE `option_name` = VALUES(`option_name`), `option_value` = VALUES(`option_value`), `autoload` = VALUES(`autoload`)
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'html_type' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'html_type' LIMIT 1
		     8 Query	SHOW TABLES LIKE 'wp\\_users'
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'start_of_week' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'time_format' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'date_format' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'timezone_string' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'timezone_string' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'gmt_offset' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'start_of_week' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'time_format' LIMIT 1
		     8 Query	SELECT option_value FROM wp_options WHERE option_name = 'date_format' LIMIT 1
