mariadbd, Version: 10.11.6-MariaDB-log (Alpine Linux). started with:
Tcp port: 0  Unix socket: (null)
Time		    Id Command	Argument
240612  7:50:11	     3 Connect	root@wordp.inception_mynet on  using TCP/IP
		     3 Query	SET NAMES utf8mb4
		     3 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_520_ci'
		     3 Query	SELECT @@SESSION.sql_mode
		     3 Query	SET SESSION sql_mode='ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		     3 Init DB	mysql
		     3 Query	SELECT option_name, option_value FROM wp_options WHERE autoload = 'yes'
		     3 Query	SELECT option_name, option_value FROM wp_options
		     3 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     3 Query	DESCRIBE wp_users
		     3 Query	DESCRIBE wp_usermeta
		     3 Query	DESCRIBE wp_posts
		     3 Query	DESCRIBE wp_comments
		     3 Query	DESCRIBE wp_links
		     3 Query	DESCRIBE wp_options
		     3 Query	DESCRIBE wp_postmeta
		     3 Query	DESCRIBE wp_terms
		     3 Query	DESCRIBE wp_term_taxonomy
		     3 Query	DESCRIBE wp_term_relationships
		     3 Query	DESCRIBE wp_termmeta
		     3 Query	DESCRIBE wp_commentmeta
		     3 Quit	
		     4 Connect	root@wordp.inception_mynet on  using TCP/IP
		     4 Query	SET NAMES utf8mb4
		     4 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_unicode_520_ci'
		     4 Query	SELECT @@SESSION.sql_mode
		     4 Query	SET SESSION sql_mode='ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION'
		     4 Init DB	mysql
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     4 Query	DESCRIBE wp_users
		     4 Query	DESCRIBE wp_usermeta
		     4 Query	DESCRIBE wp_posts
		     4 Query	DESCRIBE wp_comments
		     4 Query	DESCRIBE wp_links
		     4 Query	DESCRIBE wp_options
		     4 Query	DESCRIBE wp_postmeta
		     4 Query	DESCRIBE wp_terms
		     4 Query	DESCRIBE wp_term_taxonomy
		     4 Query	DESCRIBE wp_term_relationships
		     4 Query	DESCRIBE wp_termmeta
		     4 Query	DESCRIBE wp_commentmeta
240612  7:50:12	     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'home' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_attachment_pages_enabled' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'active_plugins' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'hack_file' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_user_roles' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'template' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'template' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'WPLANG' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'template' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'stylesheet' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'cron' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'wp_attachment_pages_enabled' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'category_base' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'category_base' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'tag_base' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'tag_base' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'permalink_structure' LIMIT 1
		     4 Query	SELECT option_value FROM wp_options WHERE option_name = 'siteurl'
		     4 Query	DESCRIBE wp_users
		     4 Query	DESCRIBE wp_usermeta
		     4 Query	DESCRIBE wp_posts
		     4 Query	DESCRIBE wp_comments
		     4 Query	DESCRIBE wp_links
		     4 Query	DESCRIBE wp_options
		     4 Query	DESCRIBE wp_postmeta
